file_name,complexity_score,cik,filing_date
https://www.sec.gov/Archives/edgar/data/1577095/000157709516000171/holdings-20151229x10k.htm,0.2439714305918958,1577095,20160229
https://www.sec.gov/Archives/edgar/data/1160958/000143774916026372/iphi20151231_10k.htm,0.3565509000501098,1160958,20160229
https://www.sec.gov/Archives/edgar/data/885306/000119312516485689/d107402d10k.htm,0.217091660923501,885306,20160229
https://www.sec.gov/Archives/edgar/data/1070081/000104746916010589/a2227494z10-k.htm,0.4893215760232428,1070081,20160229
https://www.sec.gov/Archives/edgar/data/1041024/000104746916010588/a2227497z10-k.htm,0.3041979314540661,1041024,20160229
https://www.sec.gov/Archives/edgar/data/1594012/000159401216000121/isbc-12312015x10k.htm,0.1898566117896973,1594012,20160229
https://www.sec.gov/Archives/edgar/data/1210227/000121022716000100/bncnfy2015form10-k.htm,0.3827586745613898,1210227,20160229
https://www.sec.gov/Archives/edgar/data/1424929/000142492916000069/foxf2015-12x3110k.htm,0.2377656052489014,1424929,20160229
https://www.sec.gov/Archives/edgar/data/1594864/000119312516485620/d80362d10k.htm,0.3074825590671095,1594864,20160229
https://www.sec.gov/Archives/edgar/data/714310/000071431016000226/vly-12312015x10k.htm,0.3328101094796241,714310,20160229
https://www.sec.gov/Archives/edgar/data/944809/000094480916000017/opk-12312015x10k.htm,0.3153013910355486,944809,20160229
https://www.sec.gov/Archives/edgar/data/828944/000119312516485517/d92227d10k.htm,0.2048155096935585,828944,20160229
https://www.sec.gov/Archives/edgar/data/933141/000162828016011988/ibkc-20151231x10k.htm,0.2083876009377442,933141,20160229
https://www.sec.gov/Archives/edgar/data/1597553/000119312516485683/d111598d10k.htm,0.2400128865979381,1597553,20160229
https://www.sec.gov/Archives/edgar/data/1044777/000119312516485621/d141501d10k.htm,0.2776591200341734,1044777,20160229
https://www.sec.gov/Archives/edgar/data/1578318/000155837016003692/evhc-20151231x10k.htm,0.2960825183047405,1578318,20160229
https://www.sec.gov/Archives/edgar/data/1270073/000114420416085037/v429662_10k.htm,0.1614002367203471,1270073,20160229
https://www.sec.gov/Archives/edgar/data/1459200/000145920016000024/alarmcom10-k2015dec312015.htm,0.3336057557041225,1459200,20160229
https://www.sec.gov/Archives/edgar/data/939767/000093976716000149/exel2015123110k.htm,0.3063924608885381,939767,20160229
https://www.sec.gov/Archives/edgar/data/792987/000079298716000063/f10k-123115.htm,0.3285420944558521,792987,20160229
https://www.sec.gov/Archives/edgar/data/805928/000155837016003691/axgn-20151231x10k.htm,0.1768064076346285,805928,20160229
https://www.sec.gov/Archives/edgar/data/1113481/000111348116000058/mdco-12312015x10k.htm,0.3194888178913738,1113481,20160229
https://www.sec.gov/Archives/edgar/data/904163/000119312516485504/d75425d10k.htm,0.2999533405914635,904163,20160229
https://www.sec.gov/Archives/edgar/data/1080709/000162828016011994/arna-12312015x10k.htm,0.2068916315902118,1080709,20160229
https://www.sec.gov/Archives/edgar/data/877212/000162828016011978/a10k12312015zbra.htm,0.4024061398050196,877212,20160229
https://www.sec.gov/Archives/edgar/data/1082923/000156761916001904/h10034953x1_10k.htm,0.2160855552300029,1082923,20160229
https://www.sec.gov/Archives/edgar/data/73124/000007312416000324/ntrs2015123110-k.htm,0.440467997247075,73124,20160229
https://www.sec.gov/Archives/edgar/data/1365555/000136555516000222/afsi1231201510k.htm,0.2517561310540307,1365555,20160229
https://www.sec.gov/Archives/edgar/data/1496099/000149609916000008/nmfc-12312015x10k.htm,0.3202975667717105,1496099,20160229
https://www.sec.gov/Archives/edgar/data/884731/000119312516485544/d19643d10k.htm,0.2532310404982086,884731,20160229
https://www.sec.gov/Archives/edgar/data/933036/000093303616000044/a2015rcii10-k.htm,0.149909537348152,933036,20160229
https://www.sec.gov/Archives/edgar/data/109380/000010938016000345/zion-20151231x10k.htm,0.4712184717640931,109380,20160229
https://www.sec.gov/Archives/edgar/data/1330568/000143774916026351/slv20151231_10k.htm,0.0433933608157951,1330568,20160229
https://www.sec.gov/Archives/edgar/data/946673/000094667316000014/banr-12312015x10k.htm,0.2786914658214222,946673,20160229
https://www.sec.gov/Archives/edgar/data/1237746/000119312516485478/d109510d10k.htm,0.4475333017427473,1237746,20160229
https://www.sec.gov/Archives/edgar/data/813762/000081376216000057/iep-2015x10k.htm,0.4100579001755047,813762,20160229
https://www.sec.gov/Archives/edgar/data/891103/000089110316000023/iac-20151231x10k.htm,0.2533921857119503,891103,20160229
https://www.sec.gov/Archives/edgar/data/1517650/000151765016000118/inin-20151231x10k.htm,0.3974352180594563,1517650,20160229
https://www.sec.gov/Archives/edgar/data/921299/000156459016013728/fgen-10k_20151231.htm,0.1942248456064215,921299,20160229
https://www.sec.gov/Archives/edgar/data/1512762/000156459016013726/chrs-10k_20151231.htm,0.3880696307794655,1512762,20160229
https://www.sec.gov/Archives/edgar/data/9326/000114036116055524/form10k.htm,0.1641497045305318,9326,20160229
https://www.sec.gov/Archives/edgar/data/1500435/000150043516000063/gpro2015-12x3110xk.htm,0.2984343333110621,1500435,20160229
https://www.sec.gov/Archives/edgar/data/1467076/000146707616000033/clny201510-k.htm,0.7108407884549007,1467076,20160229
https://www.sec.gov/Archives/edgar/data/1411158/000104746916010583/a2227469z10-k.htm,0.3021312997106091,1411158,20160229
https://www.sec.gov/Archives/edgar/data/1253689/000155837016003688/glyc-20151231x10k.htm,0.2043385153580828,1253689,20160229
https://www.sec.gov/Archives/edgar/data/946647/000114420416084995/v432109_10k.htm,0.2713112569947433,946647,20160229
https://www.sec.gov/Archives/edgar/data/1356090/000135609016000092/xon-20151231x10k.htm,0.3898101519206051,1356090,20160229
https://www.sec.gov/Archives/edgar/data/763901/000119312516485443/d21916d10k.htm,0.356247734043727,763901,20160229
https://www.sec.gov/Archives/edgar/data/718877/000104746916010584/a2227483z10-k.htm,0.3638151425762045,718877,20160229
https://www.sec.gov/Archives/edgar/data/1489024/000148902416000031/c024-20151231x10k.htm,0.16068106218639,1489024,20160229
https://www.sec.gov/Archives/edgar/data/799088/000162828016011964/ckec10-k20151231document.htm,0.3630368532365235,799088,20160229
https://www.sec.gov/Archives/edgar/data/1450922/000145092216000014/sivr-20151231x10k.htm,0.1248617601940708,1450922,20160229
https://www.sec.gov/Archives/edgar/data/1363829/000162828016011966/esgr-123115x10k.htm,0.2807330543493946,1363829,20160229
