cik,filingdate,complexity,log_netfilesize,json_complexity_score
2178,20160311,0.43103448,12.373192,0.30305629413614665
2178,20170331,0.46145228,12.370035,0.32384331615555745
2178,20180312,0.58759511,12.924722,0.39149888143176736
2178,20190311,0.37821478,12.493145,0.19388299161456063
2178,20200306,0.41393954,12.28686,0.2721170708109089
2178,20210305,0.53112149,12.998212,0.35439788819694606
2488,20160218,0.49946731,13.547932,0.36179692472613983
2488,20170221,0.48812529,13.612779,0.3525761564497932
2488,20180227,0.51429731,13.727151,0.3798882681564246
2488,20190208,0.50482613,13.313815,0.37340104338920127
2488,20200204,0.5245139,12.750415,0.3874341552790289
2969,20171116,0.69546658,13.291726,0.4568895322536868
2969,20181120,0.64250892,12.995284,0.40362201629604993
2969,20191126,0.73985475,12.789453,0.4619024371925345
2969,20201119,0.73431504,12.822824,0.4810347592153788
2969,20211118,0.38493928,13.552324,0.26933850463262227
3499,20160216,0.30920336,12.298501,0.1963409192324855
3499,20170213,0.34342134,12.316021,0.2138316880986555
3499,20180212,0.33458382,12.373357,0.21303084797344032
3499,20190211,0.28563505,14.150576,0.21394508443189938
3499,20200218,0.27152944,12.484174,0.1727031694680256
3499,20210216,0.26543391,12.425782,0.18165071892749324
3545,20161206,0.34887484,12.763755,0.22155162534856182
3545,20171211,0.31435645,12.752531,0.209277321250288
3545,20181206,0.35510907,12.817574,0.2294230632425126
3545,20191205,0.41449553,12.865792,0.2595097776587195
3570,20160219,0.8564831,13.352031,0.6289955630591214
3570,20170224,0.84135234,13.686554,0.6220018484017193
3570,20180221,0.40605921,14.334804,0.30409944916353004
3570,20190226,0.79692537,13.426476,0.5870575199735629
3570,20200225,0.47926506,14.154125,0.35607495834379493
3570,20210224,0.58791423,13.420334,0.43827470363362553
4127,20161122,0.33711579,12.756651,0.2486555253570809
4127,20171113,0.34708923,12.680245,0.2604987290182979
4127,20181115,0.30521488,13.181681,0.2293833926423727
4127,20191114,0.39180019,12.300296,0.2974254112835765
4127,20201117,0.40926751,12.28264,0.29992501874531363
4127,20211124,0.385432,12.334369,0.27841127861860615
4187,20160325,0.39154267,12.796775,0.23050944373961368
4281,20180226,0.38380426,13.909823,0.2820045825744668
4281,20190221,0.55974448,13.330276,0.4124351887560526
4281,20200227,0.56830418,13.066176,0.40127628150645805
4281,20210216,0.42353934,13.360721,0.31825323288885304
4457,20160525,0.32809916,13.769485,0.18714784008585994
4457,20170524,0.44454098,13.214102,0.25035001542440855
4457,20180530,0.26172861,13.59025,0.15449001945429874
4457,20190529,0.53952575,12.866857,0.2985496493366545
4457,20200527,0.50783116,12.664456,0.2825638955575857
4457,20210526,0.53336167,12.599401,0.30311255881288457
4904,20160224,0.54165572,14.025209,0.355533159765964
4904,20160224,0.54165572,14.025209,0.355533159765964
4904,20160224,0.54165572,14.025209,0.355533159765964
4904,20160224,0.54165572,14.025209,0.355533159765964
4904,20160224,0.54165572,14.025209,0.355533159765964
4904,20160224,0.54165572,14.025209,0.355533159765964
4904,20170228,0.56314677,14.035675,0.3711611647048412
4904,20170228,0.56314677,14.035675,0.3711611647048412
4904,20170228,0.56314677,14.035675,0.3711611647048412
4904,20170228,0.56314677,14.035675,0.3711611647048412
4904,20170228,0.56314677,14.035675,0.3711611647048412
4904,20170228,0.56314677,14.035675,0.3711611647048412
4904,20180223,0.46791601,14.211122,0.3043261415693808
4904,20180223,0.46791601,14.211122,0.3043261415693808
4904,20180223,0.46791601,14.211122,0.3043261415693808
4904,20180223,0.46791601,14.211122,0.3043261415693808
4904,20180223,0.46791601,14.211122,0.3043261415693808
4904,20180223,0.46791601,14.211122,0.3043261415693808
4904,20180223,0.46791601,14.211122,0.3043261415693808
4904,20180223,0.46791601,14.211122,0.3043261415693808
4904,20190221,0.49934253,14.106458,0.315175683183534
4904,20190221,0.49934253,14.106458,0.315175683183534
4904,20190221,0.49934253,14.106458,0.315175683183534
4904,20190221,0.49934253,14.106458,0.315175683183534
4904,20190221,0.49934253,14.106458,0.315175683183534
4904,20190221,0.49934253,14.106458,0.315175683183534
4904,20190221,0.49934253,14.106458,0.315175683183534
4904,20190221,0.49934253,14.106458,0.315175683183534
4904,20200220,0.42269099,14.019752,0.2799340429378283
4904,20200220,0.42269099,14.019752,0.2799340429378283
4904,20200220,0.42269099,14.019752,0.2799340429378283
4904,20200220,0.42269099,14.019752,0.2799340429378283
4904,20200220,0.42269099,14.019752,0.2799340429378283
4904,20200220,0.42269099,14.019752,0.2799340429378283
4904,20200220,0.42269099,14.019752,0.2799340429378283
4904,20200220,0.42269099,14.019752,0.2799340429378283
4904,20210225,0.39262474,14.297914,0.2699792630403573
4904,20210225,0.39262474,14.297914,0.2699792630403573
4904,20210225,0.39262474,14.297914,0.2699792630403573
4904,20210225,0.39262474,14.297914,0.2699792630403573
4904,20210225,0.39262474,14.297914,0.2699792630403573
4904,20210225,0.39262474,14.297914,0.2699792630403573
4904,20210225,0.39262474,14.297914,0.2699792630403573
4904,20210225,0.39262474,14.297914,0.2699792630403573
4962,20180216,0.75364548,13.394867,0.5337589849429132
4962,20190213,0.78598595,13.324218,0.5535802199004431
4962,20200213,0.75360566,13.144855,0.5150539176696092
4962,20210212,0.66556263,13.142758,0.4598514326140785
4977,20160225,1.135443,13.390497,0.7963122540724052
4977,20170224,1.1369754,13.361679,0.8077042559801181
4977,20180223,1.0621173,13.444776,0.758018648249621
4977,20190225,0.86536092,13.20918,0.6326180365039398
4977,20200221,0.74564362,13.410271,0.5281316079685144
4977,20210223,0.86219174,13.213132,0.6156877231867997
5272,20160219,0.62363183,14.083844,0.48194279276459917
5272,20170223,0.62171155,14.049676,0.4766028865136445
5272,20180216,0.65270132,14.031596,0.507840685640006
5272,20190215,0.66494942,14.054475,0.5161610120635126
5513,20160224,0.65933061,13.441476,0.4607471252954144
5513,20170222,0.63281494,13.547078,0.4359629652556087
5513,20180221,0.57313627,13.707256,0.3983116342666905
5513,20190219,0.65098774,13.764627,0.448862039898848
5513,20200218,0.57454646,13.536182,0.40247704758038744
5513,20210217,0.5284307,13.589667,0.3843121797398502
6201,20180221,0.42920744,13.726095,0.29568942513648594
6201,20180221,0.42920744,13.726095,0.29568942513648594
6201,20190225,0.54580182,13.642788,0.37916045308880925
6201,20190225,0.54580182,13.642788,0.37916045308880925
